ZCTA5_x,ZCTA5_y,visitor_flows_x,latitude,longitude,latitude_y,longitude_y
53508,53508,105,42.8824665,-89.5686271,42.8824665,-89.5686271
53508,53515,1,42.8824665,-89.5686271,43.1163045,-89.7567693
53508,53516,1,42.8824665,-89.5686271,42.8052388,-89.9066314
53508,53517,3,42.8824665,-89.5686271,43.029068,-89.8224054
53508,53521,4,42.8824665,-89.5686271,42.8428148,-89.4174641
53508,53523,0,42.8824665,-89.5686271,42.9956897,-88.9988098
53508,53527,2,42.8824665,-89.5686271,43.0748965,-89.189643
53508,53528,3,42.8824665,-89.5686271,43.1160103,-89.6439924
53508,53529,0,42.8824665,-89.5686271,43.2414003,-89.5025641
53508,53531,1,42.8824665,-89.5686271,43.0743333,-89.1134166
53508,53532,0,42.8824665,-89.5686271,43.2306919,-89.3037147
53508,53534,0,42.8824665,-89.5686271,42.8405704,-89.0752499
53508,53544,0,42.8824665,-89.5686271,42.8735021,-89.9159785
53508,53555,0,42.8824665,-89.5686271,43.3093378,-89.5686271
53508,53558,0,42.8824665,-89.5686271,43.007604,-89.294221
53508,53559,6,42.8824665,-89.5686271,43.1516152,-89.0752499
53508,53560,0,42.8824665,-89.5686271,43.1939017,-89.7942892
53508,53562,11,42.8824665,-89.5686271,43.1156039,-89.5308903
53508,53571,0,42.8824665,-89.5686271,43.2709121,-89.3594449
53508,53572,94,42.8824665,-89.5686271,42.9608139,-89.7192132
53508,53574,1,42.8824665,-89.5686271,42.8047254,-89.6439924
53508,53575,21,42.8824665,-89.5686271,42.9205564,-89.3795835
53508,53583,0,42.8824665,-89.5686271,43.2327288,-89.8692203
53508,53589,1,42.8824665,-89.5686271,42.9196358,-89.2277026
53508,53590,5,42.8824665,-89.5686271,43.1912263,-89.189643
53508,53593,103,42.8824665,-89.5686271,42.999243,-89.5686271
53508,53594,0,42.8824665,-89.5686271,43.1893806,-88.9605365
53508,53597,2,42.8824665,-89.5686271,43.192794,-89.4553088
53508,53598,0,42.8824665,-89.5686271,43.2066938,-89.336925
53508,53703,5,42.8824665,-89.5686271,43.0833196,-89.3724769
53508,53704,24,42.8824665,-89.5686271,43.1438143,-89.3511495
53508,53705,38,42.8824665,-89.5686271,43.0716332,-89.4600369
53508,53706,2,42.8824665,-89.5686271,43.1054334,-89.4269287
53508,53711,55,42.8824665,-89.5686271,43.0156373,-89.4318454
53508,53713,27,42.8824665,-89.5686271,43.0324123,-89.3843206
53508,53714,0,42.8824665,-89.5686271,43.099931,-89.3084607
53508,53715,15,42.8824665,-89.5686271,43.0592056,-89.4008958
53508,53716,9,42.8824665,-89.5686271,43.0709333,-89.3274391
53508,53717,9,42.8824665,-89.5686271,43.0718858,-89.5167298
53508,53718,1,42.8824665,-89.5686271,43.0850514,-89.2562239
53508,53719,100,42.8824665,-89.5686271,43.0282084,-89.5214505
53508,53726,2,42.8824665,-89.5686271,43.0690343,-89.4245627
53508,53792,0,42.8824665,-89.5686271,43.0772547,-89.430773
53508,53911,0,42.8824665,-89.5686271,43.3084717,-89.3795835
53508,53925,0,42.8824665,-89.5686271,43.3447367,-89.0370477
