ZCTA5,pop_weighted_positive
53503,189
53507,272
53508,543
53515,233
53516,233
53517,178
53521,399
53523,659
53527,1230
53528,651
53529,311
53531,628
53532,1853
53534,1570
53536,1090
53544,100
53555,1118
53558,1225
53559,835
53560,360
53562,2333
53571,44
53572,1025
53574,412
53575,2063
53578,764
53583,728
53589,2119
53590,5056
53593,2230
53594,811
53597,2228
53598,401
53703,6063
53704,5096
53705,1443
53706,1215
53711,4769
53713,3319
53714,1769
53715,2274
53716,1751
53717,1003
53718,1848
53719,3100
53726,490
53792,0
53911,184
53925,1226
53960,438
